@timestamp;@version;capacity_bytes;date;failure;model;serial_number;lifetime
2018-01-01T09:38:29.732Z;1;8001563222016.0;2017-04-18T21:00:00.000Z;1;ST8000DM002;ZA11WTAK;374
2018-01-01T09:38:01.463Z;1;250059350016.0;2017-04-18T21:00:00.000Z;1;ST250LM004 HN;S2T0J9ACB00405;468
2018-01-01T09:57:00.561Z;1;4000787030016.0;2017-04-28T21:00:00.000Z;1;ST4000DM000;Z300GQJ1;94
2018-01-01T09:45:45.712Z;1;8001563222016.0;2017-04-20T21:00:00.000Z;1;ST8000DM002;ZA13QBYE;779
2018-01-01T09:49:00.954Z;1;4000787030016.0;2017-04-22T21:00:00.000Z;1;ST4000DM000;Z3040KMY;655
2018-01-01T09:54:40.751Z;1;4000787030016.0;2017-04-26T21:00:00.000Z;1;ST4000DM000;W300DD6P;449
2018-01-01T09:59:25.231Z;1;4000787030016.0;2017-04-29T21:00:00.000Z;1;ST4000DM000;S300XBP0;106
2018-01-01T10:00:03.164Z;1;4000787030016.0;2017-04-30T21:00:00.000Z;1;ST4000DM000;Z305BNDZ;710
2018-01-01T09:48:32.821Z;1;8001563222016.0;2017-04-22T21:00:00.000Z;1;ST8000DM002;ZA12QCHW;676
2018-01-01T09:13:19.327Z;1;4000787030016.0;2017-04-04T21:00:00.000Z;1;HGST HMS5C4040BLE640;PL2331LAH46A7J;815
2018-01-01T09:31:22.089Z;1;4000787030016.0;2017-04-13T21:00:00.000Z;1;ST4000DM000;Z3059LJ1;2397
2018-01-01T09:35:12.935Z;1;4000787030016.0;2017-04-16T21:00:00.000Z;1;ST4000DX000;Z1Z054BY;149
2018-01-01T09:30:04.909Z;1;4000787030016.0;2017-04-13T21:00:00.000Z;1;HGST HMS5C4040BLE640;PL1331LAHBSRGH;1269
2018-01-01T09:21:49.393Z;1;4000787030016.0;2017-04-08T21:00:00.000Z;1;HGST HMS5C4040ALE640;PL1331LAGSE14H;1029
2018-01-01T09:29:39.918Z;1;4000787030016.0;2017-04-12T21:00:00.000Z;1;ST4000DM000;Z305BAKB;972
2018-01-01T09:34:46.476Z;1;4000787030016.0;2017-04-16T21:00:00.000Z;1;ST4000DM000;Z300GQ7V;10
2018-01-01T09:20:14.617Z;1;4000787030016.0;2017-04-07T21:00:00.000Z;1;ST4000DM000;W300D26M;139
2018-01-01T09:23:30.574Z;1;4000787030016.0;2017-04-09T21:00:00.000Z;1;ST4000DM000;Z3054HPN;424
2018-01-01T09:30:58.762Z;1;4000787030016.0;2017-04-13T21:00:00.000Z;1;ST4000DM000;Z300GZBV;365
2018-01-01T09:33:51.310Z;1;4000787030016.0;2017-04-15T21:00:00.000Z;1;ST4000DM000;Z3024W1C;366
2018-01-01T09:14:06.779Z;1;4000787030016.0;2017-04-05T21:00:00.000Z;1;ST4000DX000;Z1Z03J9E;142
2018-01-01T10:07:19.672Z;1;4000787030016.0;2017-05-05T21:00:00.000Z;1;ST4000DM000;Z304L9P8;533
2018-01-01T10:06:52.702Z;1;4000787030016.0;2017-05-04T21:00:00.000Z;1;ST4000DM000;Z3023X6K;2116
2018-01-01T10:10:33.557Z;1;4000787030016.0;2017-05-07T21:00:00.000Z;1;ST4000DM000;Z302AKQS;1660
2018-01-01T10:12:23.701Z;1;4000787030016.0;2017-05-08T21:00:00.000Z;1;Hitachi HDS5C4040ALE630;PL2311LAG1L4AC;55
2018-01-01T10:18:32.637Z;1;4000787030016.0;2017-05-12T21:00:00.000Z;1;HGST HMS5C4040BLE640;PL2331LAHBAP3J;90
2018-01-01T10:17:49.741Z;1;4000787030016.0;2017-05-12T21:00:00.000Z;1;ST4000DM000;Z305D2KE;254
2018-01-01T10:13:10.020Z;1;4000787030016.0;2017-05-09T21:00:00.000Z;1;ST4000DM000;W300J8DX;298
2018-01-01T10:10:51.144Z;1;4000787030016.0;2017-05-07T21:00:00.000Z;1;ST4000DM000;Z300TXH6;526
2018-01-01T10:10:59.993Z;1;4000787030016.0;2017-05-07T21:00:00.000Z;1;ST4000DM000;Z3015SZN;1011
2018-01-01T10:50:23.320Z;1;4000787030016.0;2017-06-02T21:00:00.000Z;1;HGST HMS5C4040BLE640;PL1331LAHBS6NH;1715
2018-01-01T10:50:28.521Z;1;6001175126016.0;2017-06-02T21:00:00.000Z;1;ST6000DX000;Z4D084X3;77
2018-01-01T10:51:10.343Z;1;4000787030016.0;2017-06-03T21:00:00.000Z;1;ST4000DM000;Z304KBXJ;209
2018-01-01T10:51:03.372Z;1;4000787030016.0;2017-06-03T21:00:00.000Z;1;ST4000DM000;Z304JW3S;629
2018-01-01T10:38:24.651Z;1;4000787030016.0;2017-05-25T21:00:00.000Z;1;ST4000DM000;Z300GZ1R;428
2018-01-01T10:38:24.556Z;1;4000787030016.0;2017-05-25T21:00:00.000Z;1;ST4000DM000;Z3027GDY;1470
2018-01-01T10:31:01.169Z;1;4000787030016.0;2017-05-20T21:00:00.000Z;1;ST4000DM000;Z305NSS5;436
2018-01-01T10:39:31.556Z;1;4000787030016.0;2017-05-26T21:00:00.000Z;1;ST4000DX000;Z1Z059JQ;1413
2018-01-01T10:23:21.197Z;1;4000787030016.0;2017-05-15T21:00:00.000Z;1;ST4000DM000;Z305D2BM;558
2018-01-01T10:26:59.567Z;1;4000787030016.0;2017-05-17T21:00:00.000Z;1;ST4000DM000;Z30260WC;2357
2018-01-01T10:32:31.004Z;1;4000787030016.0;2017-05-21T21:00:00.000Z;1;ST4000DM000;Z30262K4;258
2018-01-01T10:32:13.941Z;1;4000787030016.0;2017-05-21T21:00:00.000Z;1;ST4000DM000;Z305GWPW;171
2018-01-01T10:53:31.445Z;1;4000787030016.0;2017-06-04T21:00:00.000Z;1;ST4000DM000;W30088ZB;229
2018-01-01T11:16:26.542Z;1;4000787030016.0;2017-06-18T21:00:00.000Z;1;ST4000DM000;Z30330GD;1275
2018-01-01T11:16:11.425Z;1;4000787030016.0;2017-06-18T21:00:00.000Z;1;ST4000DX000;Z1Z05CDK;490
2018-01-01T11:16:43.019Z;1;4000787030016.0;2017-06-19T21:00:00.000Z;1;ST4000DM000;Z3001G79;2016
2018-01-01T11:18:45.821Z;1;4000787030016.0;2017-06-20T21:00:00.000Z;1;ST4000DM000;Z303THHV;3844
2018-01-01T11:07:16.595Z;1;500107862016.0;2017-06-13T21:00:00.000Z;1;ST500LM012 HN;S2ZYJ9GGB02833;431
2018-01-01T11:10:43.336Z;1;4000787030016.0;2017-06-15T21:00:00.000Z;1;ST4000DM000;Z300PC7X;694
2018-01-01T11:10:43.441Z;1;4000787030016.0;2017-06-15T21:00:00.000Z;1;ST4000DM000;Z304JKHX;344
2018-01-01T11:19:40.269Z;1;4000787030016.0;2017-06-20T21:00:00.000Z;1;ST4000DM000;Z3040Q7P;185
2018-01-01T10:56:13.631Z;1;4000787030016.0;2017-06-06T21:00:00.000Z;1;ST4000DM000;W300WRGX;526
2018-01-01T11:05:10.782Z;1;4000787030016.0;2017-06-11T21:00:00.000Z;1;ST4000DX000;Z1Z05CDD;118
2018-01-01T10:58:20.166Z;1;4000787030016.0;2017-06-07T21:00:00.000Z;1;ST4000DM000;Z300XQWQ;141
2018-01-01T11:05:21.218Z;1;4000787030016.0;2017-06-12T21:00:00.000Z;1;ST4000DM000;W300J8BR;5
2018-01-01T10:33:39.478Z;1;4000787030016.0;2017-05-22T21:00:00.000Z;1;ST4000DM000;Z3026Z5M;603
2018-01-01T10:24:13.774Z;1;4000787030016.0;2017-05-16T21:00:00.000Z;1;ST4000DM000;Z300ZSYS;403
2018-01-01T10:24:13.743Z;1;4000787030016.0;2017-05-16T21:00:00.000Z;1;ST4000DM000;Z304JMKD;701
2018-01-01T11:21:48.323Z;1;4000787030016.0;2017-06-22T21:00:00.000Z;1;ST4000DM000;Z3016PFJ;1801
2018-01-01T11:24:53.887Z;1;4000787030016.0;2017-06-23T21:00:00.000Z;1;ST4000DM000;Z302BDTD;257
2018-01-01T11:20:52.230Z;1;4000787030016.0;2017-06-21T21:00:00.000Z;1;ST4000DM000;S300X985;132
2018-01-01T11:22:09.237Z;1;4000787030016.0;2017-06-22T21:00:00.000Z;1;ST4000DM000;Z300GPGX;1083
2018-01-01T11:22:08.838Z;1;4000787030016.0;2017-06-22T21:00:00.000Z;1;ST4000DM000;Z300GYX3;272
2018-01-01T11:26:56.674Z;1;8001563222016.0;2017-06-25T21:00:00.000Z;1;ST8000DM002;ZA12FFSQ;74
2018-01-01T11:27:27.067Z;1;4000787030016.0;2017-06-25T21:00:00.000Z;1;ST4000DM000;Z300GQJK;1237
2018-01-01T11:11:43.193Z;1;4000787030016.0;2017-06-15T21:00:00.000Z;1;ST4000DM000;Z300ZS2W;175
2018-01-01T11:13:35.998Z;1;4000787030016.0;2017-06-17T21:00:00.000Z;1;ST4000DM000;Z3041BYX;158
2018-01-10T07:03:29.057Z;1;4000787030016.0;2016-10-09T21:00:00.000Z;1;ST4000DM000;Z304YS93;2570
2018-01-10T07:08:16.439Z;1;4000787030016.0;2016-10-12T21:00:00.000Z;1;ST4000DM000;Z3011WJC;589
